品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
东电化TDK,MHQ0402PSA0N2BT000,MHQ0402PSA,01005,CERAMIC,0.2,NH,±0.1nH,,High Q RF Chip Inductor,L=0.2nH | Imax=600mA | DCR=20mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA0N2BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=0.2nH ±0.1nH | 600mA | 20mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA0N2BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,600mA,20mΩ typ / 150mΩ max,,0.2,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N0BT000,MHQ0402PSA,01005,CERAMIC,1.0,NH,±0.1nH,,High Q RF Chip Inductor,L=1.0nH | Imax=600mA | DCR=70mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.0nH ±0.1nH | 600mA | 70mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,600mA,70mΩ typ / 150mΩ max,,1.0,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N0CT000,MHQ0402PSA,01005,CERAMIC,1.0,NH,±0.2nH,,High Q RF Chip Inductor,L=1.0nH | Imax=600mA | DCR=70mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.0nH ±0.2nH | 600mA | 70mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,600mA,70mΩ typ / 150mΩ max,,1.0,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N0ST000,MHQ0402PSA,01005,CERAMIC,1.0,NH,±0.3nH,,High Q RF Chip Inductor,L=1.0nH | Imax=600mA | DCR=70mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.0nH ±0.3nH | 600mA | 70mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N0ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,600mA,70mΩ typ / 150mΩ max,,1.0,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N1BT000,MHQ0402PSA,01005,CERAMIC,1.1,NH,±0.1nH,,High Q RF Chip Inductor,L=1.1nH | Imax=500mA | DCR=110mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.1nH ±0.1nH | 500mA | 110mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,110mΩ typ / 150mΩ max,,1.1,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N1CT000,MHQ0402PSA,01005,CERAMIC,1.1,NH,±0.2nH,,High Q RF Chip Inductor,L=1.1nH | Imax=500mA | DCR=110mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.1nH ±0.2nH | 500mA | 110mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,110mΩ typ / 150mΩ max,,1.1,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N1ST000,MHQ0402PSA,01005,CERAMIC,1.1,NH,±0.3nH,,High Q RF Chip Inductor,L=1.1nH | Imax=500mA | DCR=110mΩ typ / 150mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.1nH ±0.3nH | 500mA | 110mΩ typ / 150mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N1ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,110mΩ typ / 150mΩ max,,1.1,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N2BT000,MHQ0402PSA,01005,CERAMIC,1.2,NH,±0.1nH,,High Q RF Chip Inductor,L=1.2nH | Imax=500mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.2nH ±0.1nH | 500mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,150mΩ typ / 200mΩ max,,1.2,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N2CT000,MHQ0402PSA,01005,CERAMIC,1.2,NH,±0.2nH,,High Q RF Chip Inductor,L=1.2nH | Imax=500mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.2nH ±0.2nH | 500mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,150mΩ typ / 200mΩ max,,1.2,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N2ST000,MHQ0402PSA,01005,CERAMIC,1.2,NH,±0.3nH,,High Q RF Chip Inductor,L=1.2nH | Imax=500mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.2nH ±0.3nH | 500mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N2ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,500mA,150mΩ typ / 200mΩ max,,1.2,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N3BT000,MHQ0402PSA,01005,CERAMIC,1.3,NH,±0.1nH,,High Q RF Chip Inductor,L=1.3nH | Imax=400mA | DCR=130mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.3nH ±0.1nH | 400mA | 130mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,130mΩ typ / 200mΩ max,,1.3,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N3CT000,MHQ0402PSA,01005,CERAMIC,1.3,NH,±0.2nH,,High Q RF Chip Inductor,L=1.3nH | Imax=400mA | DCR=130mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.3nH ±0.2nH | 400mA | 130mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,130mΩ typ / 200mΩ max,,1.3,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N3ST000,MHQ0402PSA,01005,CERAMIC,1.3,NH,±0.3nH,,High Q RF Chip Inductor,L=1.3nH | Imax=400mA | DCR=130mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.3nH ±0.3nH | 400mA | 130mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N3ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,130mΩ typ / 200mΩ max,,1.3,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N4BT000,MHQ0402PSA,01005,CERAMIC,1.4,NH,±0.1nH,,High Q RF Chip Inductor,L=1.4nH | Imax=400mA | DCR=180mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.4nH ±0.1nH | 400mA | 180mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,180mΩ typ / 300mΩ max,,1.4,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N4CT000,MHQ0402PSA,01005,CERAMIC,1.4,NH,±0.2nH,,High Q RF Chip Inductor,L=1.4nH | Imax=400mA | DCR=180mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.4nH ±0.2nH | 400mA | 180mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,180mΩ typ / 300mΩ max,,1.4,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N4ST000,MHQ0402PSA,01005,CERAMIC,1.4,NH,±0.3nH,,High Q RF Chip Inductor,L=1.4nH | Imax=400mA | DCR=180mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.4nH ±0.3nH | 400mA | 180mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N4ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,180mΩ typ / 300mΩ max,,1.4,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N5BT000,MHQ0402PSA,01005,CERAMIC,1.5,NH,±0.1nH,,High Q RF Chip Inductor,L=1.5nH | Imax=400mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.5nH ±0.1nH | 400mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 200mΩ max,,1.5,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N5CT000,MHQ0402PSA,01005,CERAMIC,1.5,NH,±0.2nH,,High Q RF Chip Inductor,L=1.5nH | Imax=400mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.5nH ±0.2nH | 400mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 200mΩ max,,1.5,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N5ST000,MHQ0402PSA,01005,CERAMIC,1.5,NH,±0.3nH,,High Q RF Chip Inductor,L=1.5nH | Imax=400mA | DCR=150mΩ typ / 200mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.5nH ±0.3nH | 400mA | 150mΩ typ / 200mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N5ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 200mΩ max,,1.5,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N6BT000,MHQ0402PSA,01005,CERAMIC,1.6,NH,±0.1nH,,High Q RF Chip Inductor,L=1.6nH | Imax=400mA | DCR=150mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.6nH ±0.1nH | 400mA | 150mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 300mΩ max,,1.6,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N6CT000,MHQ0402PSA,01005,CERAMIC,1.6,NH,±0.2nH,,High Q RF Chip Inductor,L=1.6nH | Imax=400mA | DCR=150mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.6nH ±0.2nH | 400mA | 150mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 300mΩ max,,1.6,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N6ST000,MHQ0402PSA,01005,CERAMIC,1.6,NH,±0.3nH,,High Q RF Chip Inductor,L=1.6nH | Imax=400mA | DCR=150mΩ typ / 300mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.6nH ±0.3nH | 400mA | 150mΩ typ / 300mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N6ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,150mΩ typ / 300mΩ max,,1.6,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N7BT000,MHQ0402PSA,01005,CERAMIC,1.7,NH,±0.1nH,,High Q RF Chip Inductor,L=1.7nH | Imax=400mA | DCR=210mΩ typ / 400mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.7nH ±0.1nH | 400mA | 210mΩ typ / 400mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,210mΩ typ / 400mΩ max,,1.7,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N7CT000,MHQ0402PSA,01005,CERAMIC,1.7,NH,±0.2nH,,High Q RF Chip Inductor,L=1.7nH | Imax=400mA | DCR=210mΩ typ / 400mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7CT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.7nH ±0.2nH | 400mA | 210mΩ typ / 400mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7CT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,210mΩ typ / 400mΩ max,,1.7,NH,±0.2nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N7ST000,MHQ0402PSA,01005,CERAMIC,1.7,NH,±0.3nH,,High Q RF Chip Inductor,L=1.7nH | Imax=400mA | DCR=210mΩ typ / 400mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7ST000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.7nH ±0.3nH | 400mA | 210mΩ typ / 400mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N7ST000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,210mΩ typ / 400mΩ max,,1.7,NH,±0.3nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
东电化TDK,MHQ0402PSA1N8BT000,MHQ0402PSA,01005,CERAMIC,1.8,NH,±0.1nH,,High Q RF Chip Inductor,L=1.8nH | Imax=400mA | DCR=140mΩ typ / 400mΩ max,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N8BT000,https://product.tdk.com/en/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mhq0402psa_en.pdf,射频电感,SMT,01005,0.4 x 0.2 x 0.2 mm,MHQ0402PSA | 0.4 x 0.2 x 0.2 mm | L=1.8nH ±0.1nH | 400mA | 140mΩ typ / 400mΩ max,Active,0.4,0.2,0.2,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=MHQ0402PSA1N8BT000,TDK official catalog PDF,官方抽取,2026-04-19,TDK MHQ0402PSA official catalog PDF,,,,,,,,,,,,,,,400mA,140mΩ typ / 400mΩ max,,1.8,NH,±0.1nH,,,,TDK MHQ-PSA series high Q multilayer ceramic inductor (EIA 01005),,,,,,,,,,,,
