品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
三星Samsung,CIGT160808XMR24MN#,CIGT160808XM,0603,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0603,1.60±0.20mm x 0.80±0.20mm x 0.8mm,L=0.24 | Tol=20 | Isat=4.1A | Itemp=4.3A | DCR=0.024Ω | 1.60±0.20mm x 0.80±0.20mm x 0.8mm,Active,1.6,0.8,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.024Ω,,0.24,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,1.60±0.20mm x 0.80±0.20mm x 0.8mm
三星Samsung,CIGT201608EM2R2MN#,CIGT201608EM,0806,,,,,,Power Inductor,Isat Max: 1.9A | Itemp Max: 2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 0.8mm,L=2.2 | Tol=20 | Isat=1.9A | Itemp=2A | DCR=0.11Ω | 2.00±0.20mm x 1.60±0.20mm x 0.8mm,Active,2,1.6,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2A,0.11Ω,,2.2,UH,20,1.9A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 0.8mm
三星Samsung,CIGT201610EH2R2MN#,CIGT201610EH,0806,,,,,,Power Inductor,Isat Max: 2.7A | Itemp Max: 2.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.7A | Itemp=2.5A | DCR=0.087Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.5A,0.087Ω,,2.2,UH,20,2.7A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGT201610LH2R2MN#,CIGT201610LH,0806,,,,,,Power Inductor,Isat Max: 2A | Itemp Max: 1.8A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2A | Itemp=1.8A | DCR=0.139Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.8A,0.139Ω,,2.2,UH,20,2A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGT201610LM2R2MN#,CIGT201610LM,0806,,,,,,Power Inductor,Isat Max: 1.6A | Itemp Max: 1.6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=1.6A | Itemp=1.6A | DCR=0.154Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.6A,0.154Ω,,2.2,UH,20,1.6A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGT201610UH2R2MN#,CIGT201610UH,0806,,,,,,Power Inductor,Isat Max: 2.6A | Itemp Max: 2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.6A | Itemp=2A | DCR=0.13Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2A,0.13Ω,,2.2,UH,20,2.6A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGT201610UL2R2MN#,CIGT201610UL,0806,,,,,,Power Inductor,Isat Max: 2.4A | Itemp Max: 1.7A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.4A | Itemp=1.7A | DCR=0.13Ω | 2.00±0.20mm x 1.60±0.20mm x 1mm,Active,2,1.6,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,1.7A,0.13Ω,,2.2,UH,20,2.4A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 1mm
三星Samsung,CIGT2016R6MH100MN#,CIGT2016R6MH,0806,,,,,,Power Inductor,Isat Max: 0.5A | Itemp Max: 0.45A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,0806,2.00±0.20mm x 1.60±0.20mm x 0.65mm,L=10 | Tol=20 | Isat=0.5A | Itemp=0.45A | DCR=1.4Ω | 2.00±0.20mm x 1.60±0.20mm x 0.65mm,Active,2,1.6,0.65,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,0.45A,1.4Ω,,10,UH,20,0.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.60±0.20mm x 0.65mm
三星Samsung,CIGT252010EHR22MR#,CIGT252010EH,1008,,,,,,Power Inductor,Isat Max: 8.6A | Itemp Max: 6.6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.22 | Tol=20 | Isat=8.6A | Itemp=6.6A | DCR=0.013Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,6.6A,0.013Ω,,0.22,UH,20,8.6A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252008LMR24MN#,CIGT252008LM,1008,,,,,,Power Inductor,Isat Max: 6.5A | Itemp Max: 6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 0.8mm,L=0.24 | Tol=20 | Isat=6.5A | Itemp=6A | DCR=0.016Ω | 2.50±0.20mm x 2.00±0.20mm x 0.8mm,Active,2.5,2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,6A,0.016Ω,,0.24,UH,20,6.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 0.8mm
三星Samsung,CIGT252010LMR24MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 7.5A | Itemp Max: 6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.24 | Tol=20 | Isat=7.5A | Itemp=6A | DCR=0.016Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,6A,0.016Ω,,0.24,UH,20,7.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010LMR33MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 6.5A | Itemp Max: 5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.33 | Tol=20 | Isat=6.5A | Itemp=5A | DCR=0.022Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,5A,0.022Ω,,0.33,UH,20,6.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252008LHR47MN#,CIGT252008LH,1008,,,,,,Power Inductor,Isat Max: 5A | Itemp Max: 4.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=5A | Itemp=4.2A | DCR=0.029Ω | 2.50±0.20mm x 2.00±0.20mm x 0.8mm,Active,2.5,2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.2A,0.029Ω,,0.47,UH,20,5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 0.8mm
三星Samsung,CIGT252010EHR47MN#,CIGT252010EH,1008,,,,,,Power Inductor,Isat Max: 6.1A | Itemp Max: 4.9A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=6.1A | Itemp=4.9A | DCR=0.023Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.9A,0.023Ω,,0.47,UH,20,6.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010LMR47MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 5A | Itemp Max: 4.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.47 | Tol=20 | Isat=5A | Itemp=4.2A | DCR=0.029Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.2A,0.029Ω,,0.47,UH,20,5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252012LMR47MN#,CIGT252012LM,1008,,,,,,Power Inductor,Isat Max: 5.2A | Itemp Max: 4.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1.2mm,L=0.47 | Tol=20 | Isat=5.2A | Itemp=4.3A | DCR=0.025Ω | 2.50±0.20mm x 2.00±0.20mm x 1.2mm,Active,2.5,2,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.3A,0.025Ω,,0.47,UH,20,5.2A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1.2mm
三星Samsung,CIGT252010LMR68MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 4A | Itemp Max: 3.3A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=0.68 | Tol=20 | Isat=4A | Itemp=3.3A | DCR=0.045Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.3A,0.045Ω,,0.68,UH,20,4A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252008KM1R0MR#,CIGT252008KM,1008,,,,,,Power Inductor,Isat Max: 4.1A | Itemp Max: 4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.55±0.10mm x 2.05±0.10mm x 0.8mm,L=1 | Tol=20 | Isat=4.1A | Itemp=4A | DCR=0.043Ω | 2.55±0.10mm x 2.05±0.10mm x 0.8mm,Active,2.55,2.05,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4A,0.043Ω,,1,UH,20,4.1A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.55±0.10mm x 2.05±0.10mm x 0.8mm
三星Samsung,CIGT252008LM1R0MN#,CIGT252008LM,1008,,,,,,Power Inductor,Isat Max: 3.5A | Itemp Max: 3.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 0.8mm,L=1 | Tol=20 | Isat=3.5A | Itemp=3.1A | DCR=0.05Ω | 2.50±0.20mm x 2.00±0.20mm x 0.8mm,Active,2.5,2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.1A,0.05Ω,,1,UH,20,3.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 0.8mm
三星Samsung,CIGT252010EH1R0MN#,CIGT252010EH,1008,,,,,,Power Inductor,Isat Max: 4.7A | Itemp Max: 4.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=4.7A | Itemp=4.1A | DCR=0.03Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.1A,0.03Ω,,1,UH,20,4.7A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010LM1R0MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 3.8A | Itemp Max: 3.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=3.8A | Itemp=3.1A | DCR=0.05Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.1A,0.05Ω,,1,UH,20,3.8A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010UH1R0MN#,CIGT252010UH,1008,,,,,,Power Inductor,Isat Max: 4.2A | Itemp Max: 3.5A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1 | Tol=20 | Isat=4.2A | Itemp=3.5A | DCR=0.04Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.5A,0.04Ω,,1,UH,20,4.2A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252012LM1R0MN#,CIGT252012LM,1008,,,,,,Power Inductor,Isat Max: 3.8A | Itemp Max: 3.4A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1.2mm,L=1 | Tol=20 | Isat=3.8A | Itemp=3.4A | DCR=0.04Ω | 2.50±0.20mm x 2.00±0.20mm x 1.2mm,Active,2.5,2,1.2,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,3.4A,0.04Ω,,1,UH,20,3.8A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1.2mm
三星Samsung,CIGT252010LM1R5MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 3A | Itemp Max: 2.6A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=1.5 | Tol=20 | Isat=3A | Itemp=2.6A | DCR=0.078Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.6A,0.078Ω,,1.5,UH,20,3A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252008LM2R2MN#,CIGT252008LM,1008,,,,,,Power Inductor,Isat Max: 1.9A | Itemp Max: 2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 0.8mm,L=2.2 | Tol=20 | Isat=1.9A | Itemp=2A | DCR=0.097Ω | 2.50±0.20mm x 2.00±0.20mm x 0.8mm,Active,2.5,2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2A,0.097Ω,,2.2,UH,20,1.9A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 0.8mm
三星Samsung,CIGT252010EH2R2MN#,CIGT252010EH,1008,,,,,,Power Inductor,Isat Max: 2.5A | Itemp Max: 2.63A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.5A | Itemp=2.63A | DCR=0.075Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.63A,0.075Ω,,2.2,UH,20,2.5A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT252010LM2R2MN#,CIGT252010LM,1008,,,,,,Power Inductor,Isat Max: 2.3A | Itemp Max: 2.1A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film General Type,功率电感,SMT,1008,2.50±0.20mm x 2.00±0.20mm x 1mm,L=2.2 | Tol=20 | Isat=2.3A | Itemp=2.1A | DCR=0.097Ω | 2.50±0.20mm x 2.00±0.20mm x 1mm,Active,2.5,2,1,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 9,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,2.1A,0.097Ω,,2.2,UH,20,2.3A,Magnetically Shielded Type,,Samsung Thin Film General Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.50±0.20mm x 2.00±0.20mm x 1mm
三星Samsung,CIGT201208TMR47ML#,CIGT201208TM,0805,,,,,,Power Inductor,Isat Max: 4.8A | Itemp Max: 4.2A,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Thin Film L Type,功率电感,SMT,0805,2.00±0.20mm x 1.20±0.20mm x 0.8mm,L=0.47 | Tol=20 | Isat=4.8A | Itemp=4.2A | DCR=0.024Ω | 2.00±0.20mm x 1.20±0.20mm x 0.8mm,Active,2,1.2,0.8,https://www.samsungsem.com/resources/file/cn/support/product_catalog/Power_Inductor.pdf,Samsung official Power Inductor catalog PDF,官方目录抽取,2026-04-19,Samsung power inductor catalog page 11,,,,,,,-55 to +125℃ (Including self generated temperature rise),,,,,,,,4.2A,0.024Ω,,0.47,UH,20,4.8A,Magnetically Shielded Type,,Samsung Thin Film L Type Power Inductor,Samsung official Power Inductor catalog PDF,,,,,,,,,,,2.00±0.20mm x 1.20±0.20mm x 0.8mm
